"","wunifrac.PC.1","wunifrac.PC.2","wunifrac.PC.3","wunifrac.PC.4"
"L3.1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation",-1.4225790015166e-05,-4.38287721843524e-07,-3.89837753074904e-05,4.27681647729051e-06
"L3.ABC.transporters",-7.00990010602053e-08,-4.65999193415123e-08,-8.06999856148382e-09,8.17392210811168e-09
"L3.Adherens.junction",NA,NA,NA,NA
"L3.Adipocytokine.signaling.pathway",5.15094457328598e-06,1.96942862241933e-06,-7.36672031911924e-07,-6.00295806755603e-07
"L3.African.trypanosomiasis",-0.000173272538757646,-0.000103867078243217,-4.0465907914704e-05,4.56530378053122e-05
"L3.Alanine..aspartate.and.glutamate.metabolism",3.42019139549729e-09,-8.29622112800341e-08,-3.92381979141228e-08,-1.09851031089752e-08
"L3.Aldosterone.regulated.sodium.reabsorption",NA,NA,NA,NA
"L3.Alzheimer.s.disease",-1.80204418945393e-06,-1.87172066782236e-06,-9.27765115466431e-07,-6.09929144833424e-07
"L3.Amino.acid.metabolism",-9.88931292628168e-07,-6.77503547875443e-07,-5.77902910816114e-08,1.47526229352725e-07
"L3.Amino.acid.related.enzymes",-9.78800079061178e-08,-8.41788174203051e-08,-2.87206712797208e-08,-1.39121425621029e-09
"L3.Amino.sugar.and.nucleotide.sugar.metabolism",7.61237246090086e-09,-7.52353379684862e-08,-1.98840527658576e-08,1.34681300855223e-08
"L3.Aminoacyl.tRNA.biosynthesis",-1.52122051157003e-07,-1.17523372291414e-07,-4.24824929289814e-08,4.48215743271431e-09
"L3.Aminobenzoate.degradation",-2.5150749240492e-07,-7.92445840345466e-07,-3.52170617173634e-07,-1.8767771151382e-07
"L3.Amoebiasis",-5.07429798502618e-07,-7.95596792082081e-06,-3.99268166585557e-06,5.86162958831129e-06
"L3.Amyotrophic.lateral.sclerosis..ALS.",-7.76813799376655e-06,1.846020222376e-06,-3.14213093600583e-06,4.75710925594177e-06
"L3.Antigen.processing.and.presentation",-1.29656341881871e-06,-1.82003845172568e-06,-1.0767802088925e-06,-2.95879885481707e-07
"L3.Apoptosis",2.90361091343192e-05,-1.07913788768979e-05,-2.21070774064695e-05,-2.43313090300792e-05
"L3.Arachidonic.acid.metabolism",4.60432909843182e-06,8.96142413404686e-06,-1.81433360607852e-06,-3.61981418810821e-06
"L3.Arginine.and.proline.metabolism",-9.51211982733591e-08,-9.01854867671902e-08,-2.54634695694507e-08,-6.44152637452629e-09
"L3.Arrhythmogenic.right.ventricular.cardiomyopathy..ARVC.",NA,NA,NA,NA
"L3.Ascorbate.and.aldarate.metabolism",-1.26128261347836e-06,-9.22362700851166e-07,-3.19394244880622e-07,7.6793285276739e-07
"L3.Atrazine.degradation",-1.1894305071162e-05,-6.56681999558479e-06,-1.20355919066479e-07,1.18854443152311e-06
"L3.Bacterial.chemotaxis",-4.51521281955337e-07,-2.72818078990419e-07,-5.4439622238688e-08,2.80460655651179e-08
"L3.Bacterial.invasion.of.epithelial.cells",-0.000328092636635201,-0.000239075638663275,-3.23014837594103e-05,8.60006960152975e-05
