"","wunifrac.PC.1","wunifrac.PC.2","wunifrac.PC.3","wunifrac.PC.4"
"L3.1.1.1.Trichloro.2.2.bis.4.chlorophenyl.ethane..DDT..degradation",1.48974373411069e-05,-1.9711374338766e-06,-4.54125609511864e-06,6.0710732301533e-06
"L3.ABC.transporters",5.75809897405585e-09,-4.07527220748173e-09,9.80368551694042e-09,1.64960610963913e-08
"L3.Adherens.junction",NA,NA,NA,NA
"L3.Adipocytokine.signaling.pathway",-2.19264620722372e-06,-1.42081847218658e-06,1.03635738288029e-06,-4.35455937813078e-07
"L3.African.trypanosomiasis",6.4853496424973e-06,-6.17554227072055e-06,2.5037075555945e-06,2.53335011403935e-06
"L3.Alanine..aspartate.and.glutamate.metabolism",-1.19452376597775e-07,-2.58471720785593e-08,9.3795697380605e-08,1.05085918853398e-07
"L3.Aldosterone.regulated.sodium.reabsorption",0.357788029156123,-0.0521831976451322,-0.12038944998605,0.160918159084449
"L3.Alzheimer.s.disease",4.94048316431359e-07,-3.11813330543598e-07,1.4242184988653e-06,1.43704735354203e-06
"L3.Amino.acid.metabolism",-1.7641187476251e-07,-7.06815166352455e-08,1.60883620067244e-07,2.03435483473725e-07
"L3.Amino.acid.related.enzymes",1.05539479536553e-08,1.4575750307235e-08,6.98898354568705e-08,6.94910640787687e-08
"L3.Amino.sugar.and.nucleotide.sugar.metabolism",-1.84904573285573e-08,-9.07213219859638e-09,5.32715011540983e-08,4.74410645510771e-08
"L3.Aminoacyl.tRNA.biosynthesis",1.50537278429021e-07,5.95571810890392e-08,8.86491771169706e-08,8.07686055926555e-08
"L3.Aminobenzoate.degradation",-9.18858956486258e-08,-3.14592830342331e-07,2.10776101279754e-07,3.02719323273272e-07
"L3.Amoebiasis",-3.2084780295599e-05,-5.02437170544784e-06,6.36036774864823e-06,-1.86242118860927e-06
"L3.Amyotrophic.lateral.sclerosis..ALS.",-1.12759898521225e-06,-1.49764695858006e-06,1.13828478945265e-06,1.47314358095618e-06
"L3.Antigen.processing.and.presentation",-7.29953543852896e-06,1.69161813539883e-07,1.3344380755139e-06,3.79680922126293e-06
"L3.Apoptosis",1.26851201457501e-05,1.17622139331838e-06,-2.80119701487783e-07,-3.36051409528539e-06
"L3.Arachidonic.acid.metabolism",-4.01400939305792e-07,-6.38692275517376e-07,4.08138737889258e-07,1.05776920759952e-06
"L3.Arginine.and.proline.metabolism",-9.15524895028185e-08,-2.4493404943615e-08,5.66426456603447e-08,7.16000161797585e-08
"L3.Arrhythmogenic.right.ventricular.cardiomyopathy..ARVC.",NA,NA,NA,NA
"L3.Ascorbate.and.aldarate.metabolism",-1.30518491429219e-07,-1.08772082436097e-07,1.25103818462826e-07,1.64720681117252e-07
"L3.Atrazine.degradation",-5.90084642167647e-07,-1.11276190904101e-06,6.69151003268177e-07,1.19695301653548e-06
"L3.Bacterial.chemotaxis",-3.19391785259659e-07,3.72247280367128e-08,-9.04173755895122e-08,1.76178451225474e-07
"L3.Bacterial.invasion.of.epithelial.cells",5.71723991912197e-06,-3.55558135805466e-06,-1.05979391413331e-06,9.21538706898617e-06
"L3.Bacterial.motility.proteins",-9.39764644453158e-08,-5.15015607975238e-09,-1.39835977967705e-08,1.14434911782633e-07
"L3.Bacterial.secretion.system",-7.18217379402126e-09,-3.81675159574713e-08,5.65830537108267e-08,6.67248816069841e-08
"L3.Bacterial.toxins",1.33197112417831e-06,5.34235100991286e-07,4.58969878530636e-07,4.70784891845156e-07
"L3.Basal.transcription.factors",-1.88654244330555e-05,1.0791601671215e-05,-1.61464701977229e-05,2.88548619597521e-06
"L3.Base.excision.repair",1.08948713077586e-07,4.84657940660915e-08,2.19433893715456e-07,2.26250557260429e-07
"L3.Benzoate.degradation",-2.54329747219847e-08,-5.14259905312067e-08,1.28386631903472e-07,1.72001123546159e-07
"L3.Betalain.biosynthesis",-0.000103850143086791,-7.9140548663712e-05,5.90464322583887e-05,7.76155454117523e-05
"L3.Bile.secretion",0.00135974717622524,-0.00120719126644357,-0.000431058394268161,0.00254167417751999
"L3.Biosynthesis.and.biodegradation.of.secondary.metabolites",-2.3467444550448e-07,-2.57195774859803e-07,2.47385259972076e-07,2.67688265349294e-07
"L3.Biosynthesis.of.12...14..and.16.membered.macrolides",0.0493260986005613,0.0347928618323387,-0.0711204291627213,0.0739336112278293
"L3.Biosynthesis.of.ansamycins",-3.16882633043642e-07,-1.2586959615551e-07,2.8364696035074e-07,4.82998699598337e-07
"L3.Biosynthesis.of.siderophore.group.nonribosomal.peptides",-1.34437078702099e-07,-2.91738111482111e-07,2.42802683267153e-07,2.68215669209972e-07
"L3.Biosynthesis.of.type.II.polyketide.backbone",NA,NA,NA,NA
"L3.Biosynthesis.of.type.II.polyketide.products",-0.000100969051340315,-7.9042793192756e-05,5.91314001953251e-05,7.78303944800798e-05
"L3.Biosynthesis.of.unsaturated.fatty.acids",-6.66925320144701e-08,-2.32337845826779e-07,2.00789900616493e-07,2.95789899608446e-07
"L3.Biosynthesis.of.vancomycin.group.antibiotics",-4.52634917985861e-06,2.05915770860706e-07,1.36200329349755e-06,2.90417292747885e-07
"L3.Biotin.metabolism",-9.77673152018907e-07,5.41197469054894e-08,7.21253424680752e-07,5.0852440722431e-07
"L3.Bisphenol.degradation",-3.77976348112908e-06,8.27297722378347e-08,1.20454561258103e-06,1.92271155041491e-06
"L3.Bladder.cancer",-2.02493133453929e-06,-4.3696767164916e-06,2.54909222753747e-06,5.15922742942278e-06
"L3.Butanoate.metabolism",2.68832911417837e-08,-3.26218724970946e-08,4.38340561183303e-08,1.06394061838778e-07
"L3.Butirosin.and.neomycin.biosynthesis",-3.93695139453141e-06,-9.84825931661044e-07,2.06485233483718e-06,1.0465482168055e-06
"L3.C5.Branched.dibasic.acid.metabolism",1.49408553686972e-07,-8.93642882542812e-08,2.31747858539239e-07,1.85669789057346e-07
"L3.CAM.ligands",NA,NA,NA,NA
